2024-06-18 08:38:35.863 INFO  com.gec.wiki.WikiApplication                      :55   [32m                  [0;39m Starting WikiApplication using Java 1.8.0_412 on LAPTOP-GGL9I8HI with PID 10248 (D:\姚智洪\作业\实训作业\wiki\target\classes started by yzh in D:\姚智洪\作业\实训作业\wiki)
2024-06-18 08:38:35.865 INFO  com.gec.wiki.WikiApplication                      :645  [32m                  [0;39m No active profile set, falling back to 1 default profile: "default"
2024-06-18 08:38:35.900 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor :255  [32m                  [0;39m Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-18 08:38:35.900 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor :255  [32m                  [0;39m For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-18 08:38:36.950 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer      :108  [32m                  [0;39m Tomcat initialized with port(s): 8080 (http)
2024-06-18 08:38:36.956 INFO  org.apache.coyote.http11.Http11NioProtocol        :173  [32m                  [0;39m Initializing ProtocolHandler ["http-nio-8080"]
2024-06-18 08:38:36.957 INFO  org.apache.catalina.core.StandardService          :173  [32m                  [0;39m Starting service [Tomcat]
2024-06-18 08:38:36.957 INFO  org.apache.catalina.core.StandardEngine           :173  [32m                  [0;39m Starting Servlet engine: [Apache Tomcat/9.0.68]
2024-06-18 08:38:37.003 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] :173  [32m                  [0;39m Initializing Spring embedded WebApplicationContext
2024-06-18 08:38:37.003 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext    :290  [32m                  [0;39m Root WebApplicationContext: initialization completed in 1102 ms
2024-06-18 08:38:38.092 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer    :59   [32m                  [0;39m LiveReload server is running on port 35729
2024-06-18 08:38:38.121 INFO  org.apache.coyote.http11.Http11NioProtocol        :173  [32m                  [0;39m Starting ProtocolHandler ["http-nio-8080"]
2024-06-18 08:38:38.140 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer      :220  [32m                  [0;39m Tomcat started on port(s): 8080 (http) with context path ''
2024-06-18 08:38:38.152 INFO  com.gec.wiki.WikiApplication                      :61   [32m                  [0;39m Started WikiApplication in 2.552 seconds (JVM running for 5.225)
2024-06-18 08:38:38.156 INFO  com.gec.wiki.WikiApplication                      :21   [32m                  [0;39m 启动成功！！
2024-06-18 08:38:38.156 INFO  com.gec.wiki.WikiApplication                      :22   [32m                  [0;39m 地址：	http://127.0.0.1:8080
2024-06-18 08:45:55.051 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] :173  [32m                  [0;39m Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-18 08:45:55.052 INFO  org.springframework.web.servlet.DispatcherServlet :525  [32m                  [0;39m Initializing Servlet 'dispatcherServlet'
2024-06-18 08:45:55.053 INFO  org.springframework.web.servlet.DispatcherServlet :547  [32m                  [0;39m Completed initialization in 1 ms
2024-06-18 08:45:55.087 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670451459104  [0;39m ------------- 开始 -------------
2024-06-18 08:45:55.088 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670451459104  [0;39m 请求地址: http://localhost:8080/category/allList GET
2024-06-18 08:45:55.088 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670451459104  [0;39m 类名方法: com.gec.wiki.controller.CategoryController.allList
2024-06-18 08:45:55.088 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670451459104  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:45:55.127 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670451459104  [0;39m 请求参数: [{}]
2024-06-18 08:45:55.202 INFO  com.alibaba.druid.pool.DruidDataSource            :990  [32m3578670451459104  [0;39m {dataSource-1} inited
2024-06-18 08:45:55.318 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670451459104  [0;39m 返回结果: {"content":[{"id":211,"name":"海洋动物","parent":0,"sort":1},{"id":213,"name":"海洋游泳动物","parent":211,"sort":1},{"id":100,"name":"海洋植物","parent":0,"sort":2},{"id":208,"name":"test2","parent":207,"sort":2},{"id":212,"name":"海洋浮游动物","parent":211,"sort":2},{"id":200,"name":"微生物","parent":0,"sort":3},{"id":214,"name":"海洋底栖动物","parent":211,"sort":3},{"id":3568229154456608,"name":"鸡哥哥","parent":11,"sort":22},{"id":101,"name":"藻类植物","parent":100,"sort":101},{"id":102,"name":"红树林","parent":100,"sort":102},{"id":201,"name":"地下微生物","parent":200,"sort":201},{"id":202,"name":"海洋微生物","parent":200,"sort":202}],"success":true}
2024-06-18 08:45:55.319 INFO  com.gec.wiki.aspect.LogAspect                     :92   [32m3578670451459104  [0;39m ------------- 结束 耗时：233 ms -------------
2024-06-18 08:45:57.637 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670535050272  [0;39m ------------- 开始 -------------
2024-06-18 08:45:57.637 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670535050272  [0;39m 请求地址: http://localhost:8080/category/allList GET
2024-06-18 08:45:57.637 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670535050272  [0;39m 类名方法: com.gec.wiki.controller.CategoryController.allList
2024-06-18 08:45:57.638 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670535050272  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:45:57.639 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670535050272  [0;39m 请求参数: [{}]
2024-06-18 08:45:57.642 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670535214112  [0;39m ------------- 开始 -------------
2024-06-18 08:45:57.643 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670535214112  [0;39m 请求地址: http://localhost:8080/ebook/getEbookListByPage GET
2024-06-18 08:45:57.643 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670535214112  [0;39m 类名方法: com.gec.wiki.controller.EbookController.getEbookListByPage
2024-06-18 08:45:57.643 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670535214112  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:45:57.646 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670535214112  [0;39m 请求参数: [{"category2Id":0,"page":1,"size":5}]
2024-06-18 08:45:57.647 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670535050272  [0;39m 返回结果: {"content":[{"id":211,"name":"海洋动物","parent":0,"sort":1},{"id":213,"name":"海洋游泳动物","parent":211,"sort":1},{"id":100,"name":"海洋植物","parent":0,"sort":2},{"id":208,"name":"test2","parent":207,"sort":2},{"id":212,"name":"海洋浮游动物","parent":211,"sort":2},{"id":200,"name":"微生物","parent":0,"sort":3},{"id":214,"name":"海洋底栖动物","parent":211,"sort":3},{"id":3568229154456608,"name":"鸡哥哥","parent":11,"sort":22},{"id":101,"name":"藻类植物","parent":100,"sort":101},{"id":102,"name":"红树林","parent":100,"sort":102},{"id":201,"name":"地下微生物","parent":200,"sort":201},{"id":202,"name":"海洋微生物","parent":200,"sort":202}],"success":true}
2024-06-18 08:45:57.648 INFO  com.gec.wiki.aspect.LogAspect                     :92   [32m3578670535050272  [0;39m ------------- 结束 耗时：11 ms -------------
2024-06-18 08:45:57.702 INFO  com.gec.wiki.service.EbookService                 :49   [32m3578670535214112  [0;39m 总行数：6
2024-06-18 08:45:57.702 INFO  com.gec.wiki.service.EbookService                 :50   [32m3578670535214112  [0;39m 总页数：2
2024-06-18 08:45:57.708 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670535214112  [0;39m 返回结果: {"content":{"list":[{"category1Id":100,"category2Id":102,"cover":"/image/9fbb2b8e4f7549f8877d1af01c9ffca4.jpg","description":"虎皮鲨鱼","docCount":3,"id":1,"name":"虎鲸","viewCount":744,"voteCount":484},{"category1Id":100,"category2Id":101,"cover":"/image/24085cf8aee746c4a5480f405f5cd84c.jpg","description":"海产藻类（Algae）的统称，通常固着于海底或某种固体结构上，是基础细胞所构成的单株或一长串的简单植物。","docCount":1,"id":2,"name":"海藻","viewCount":13,"voteCount":4},{"category1Id":211,"category2Id":212,"cover":"/image/06492a9c30f34db8a89ec581d99dad5c.jpg","description":"双生水母多营养体期有前、后2个泳钟。前泳钟五角锥状,有5条完整的纵棱,泳囊口有齿,干室较深,口板不分瓣;后泳钟顶部为显著的榫突插进前泳钟干室,泳囊口也有齿。","docCount":1,"id":3,"name":"双生水母","viewCount":6,"voteCount":3},{"category1Id":100,"category2Id":102,"cover":"/image/99878478bddc43fc8f21335bf5bb0545.jpg","description":"多年生海生沉水草本。根茎匍匐，侧扁，棕红色，密被厚层长纤维（叶鞘残迹）。","docCount":1,"id":4,"name":"海神草","viewCount":6,"voteCount":2},{"category1Id":211,"category2Id":213,"cover":"/image/903298259a9848989bf314425ad4b1b7.jpg","description":"鲸鱼","id":5,"name":"抹香鲸"}],"total":6},"success":true}
2024-06-18 08:45:57.708 INFO  com.gec.wiki.aspect.LogAspect                     :92   [32m3578670535214112  [0;39m ------------- 结束 耗时：66 ms -------------
2024-06-18 08:45:58.286 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670556316704  [0;39m ------------- 开始 -------------
2024-06-18 08:45:58.286 INFO  com.gec.wiki.aspect.LogAspect                     :55   [32m3578670556316704  [0;39m 请求地址: http://localhost:8080/category/allList GET
2024-06-18 08:45:58.286 INFO  com.gec.wiki.aspect.LogAspect                     :56   [32m3578670556316704  [0;39m 类名方法: com.gec.wiki.controller.CategoryController.allList
2024-06-18 08:45:58.286 INFO  com.gec.wiki.aspect.LogAspect                     :57   [32m3578670556316704  [0;39m 远程地址: 0:0:0:0:0:0:0:1
2024-06-18 08:45:58.286 INFO  com.gec.wiki.aspect.LogAspect                     :79   [32m3578670556316704  [0;39m 请求参数: [{}]
2024-06-18 08:45:58.290 INFO  com.gec.wiki.aspect.LogAspect                     :91   [32m3578670556316704  [0;39m 返回结果: {"content":[{"id":211,"name":"海洋动物","parent":0,"sort":1},{"id":213,"name":"海洋游泳动物","parent":211,"sort":1},{"id":100,"name":"海洋植物","parent":0,"sort":2},{"id":208,"name":"test2","parent":207,"sort":2},{"id":212,"name":"海洋浮游动物","parent":211,"sort":2},{"id":200,"name":"微生物","parent":0,"sort":3},{"id":214,"name":"海洋底栖动物","parent":211,"sort":3},{"id":3568229154456608,"name":"鸡哥哥","parent":11,"sort":22},{"id":101,"name":"藻类植物","parent":100,"sort":101},{"id":102,"name":"红树林","parent":100,"sort":102},{"id":201,"name":"地下微生物","parent":200,"sort":201},{"id":202,"name":"海洋微生物","parent":200,"sort":202}],"success":true}
2024-06-18 08:45:58.291 INFO  com.gec.wiki.aspect.LogAspect                     :92   [32m3578670556316704  [0;39m ------------- 结束 耗时：5 ms -------------
2024-06-18 08:45:59.961 INFO  com.gec.wiki.aspect.LogAspect                     :54   [32m3578670611203104  [0;39m ------------- 开始 -------------
